variable,dataType,encrypted,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
abq,redcap_data,0,ABQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
bfne_b,redcap_data,0,BFNE (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
dsmxc,redcap_data,0,DSMXC questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
esi,redcap_data,0,ESI questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
epepq15,redcap_data,0,EPEPQ-15 questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
fpe,redcap_data,0,FPE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
identityA,redcap_data,0,IDENTITYA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
pds,redcap_data,0,PDS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
physinfo,redcap_data,0,PHYSINFO questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
pints,redcap_data,0,PINTS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
rcads,redcap_data,0,RCADS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
spaic,redcap_data,0,SPAI-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
staic,redcap_data,0,STAI-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
selfnowA,redcap_data,0,selfnowA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
initstateF,redcap_data,0,initstateC questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
posttaskH,redcap_data,0,posttaskE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
initstateF,redcap_data,0,initstateC(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e2,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
posttaskH,redcap_data,0,posttaskE(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e2,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
initstateF,redcap_data,0,initstateE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e3,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
posttaskH,redcap_data,0,posttaskG questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e3,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
initstateF,redcap_data,0,initstateE(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e4,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
posttaskH,redcap_data,0,posttaskG(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e4,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
dyadC,redcap_data,0,dyadC questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
selfnowA,redcap_data,0,selfnowA(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e2,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
postdb,redcap_data,0,postdb questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbschild"", variable: """"",NA
infosht,redcap_data,0,INFOSHT questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
txrxA,redcap_data,0,TXRXA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
demo_e,redcap_data,0,DEMO (v. E) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
bfnep_b,redcap_data,0,BFNE-P (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
fpep,redcap_data,0,FPE-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
spaip,redcap_data,0,SPAI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
esip,redcap_data,0,ESI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
rcadsp,redcap_data,0,RCADS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
physinfop,redcap_data,0,PHYSINFO-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
pdsp,redcap_data,0,PDS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
assqp,redcap_data,0,ASSQ-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
adhd5p,redcap_data,0,ADHD5-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""read2bbsparent"", variable: """"",NA
abq_scrdTotal,redcap_scrd,0,ABQ total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
abq_scrdEng,redcap_scrd,0,ABQ engagement with threat score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
abq_scrdDis,redcap_scrd,0,ABQ difficulty to disengage from threat score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
bfne_b_scrdTotal,redcap_scrd,0,BFNE (v. B) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
esi_scrdTotal,redcap_scrd,0,ESI total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
epepq15_scrdTotal,redcap_scrd,0,EPEPQ15 total score,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
epepq15_scrdCI,redcap_scrd,0,EPEPQ15 cognitive interference subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
epepq15_scrdNS,redcap_scrd,0,EPEPQ15 negative self subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
epepq15_scrdTP,redcap_scrd,0,EPEPQ15 thoughts about the past subscore,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fpe_scrdTotal,redcap_scrd,0,FPE total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pds_scrdFem,redcap_scrd,0,PDS female total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pds_scrdMal,redcap_scrd,0,PDS male total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pints_scrdTotal,redcap_scrd,0,PINTS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdTotal,redcap_scrd,0,RCADS total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdAnx,redcap_scrd,0,RCADS anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcads_scrdDep,redcap_scrd,0,RCADS depression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
spaic_scrdTotal,redcap_scrd,0,SPAI-C total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
staic_scrdTotal,redcap_scrd,0,STAI-C total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
bfnep_b_scrdTotal,redcap_scrd,0,BFNE-P (v. B) total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
fpep_scrdTotal,redcap_scrd,0,FPE-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
spaip_scrdTotal,redcap_scrd,0,SPAI-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
esip_scrdTotal,redcap_scrd,0,ESI-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdTotal,redcap_scrd,0,RCADS-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdAnx,redcap_scrd,0,RCADS-P anxiety score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
rcadsp_scrdDep,redcap_scrd,0,RCADS-P depression score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pdsp_scrdFem,redcap_scrd,0,PDS-P female total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pdsp_scrdMal,redcap_scrd,0,PDS-P male total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
assqp_scrdTotal,redcap_scrd,0,ASSQ-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adhd5_scrdIn,redcap_scrd,0,ADHD5-P Innatention subscore status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adhd5_scrdHyp,redcap_scrd,0,ADHD5-P Hyperactivity subscore status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
adhd5_scrdTotal,redcap_scrd,0,ADHD5-P total score status,"When data is preprocessed, value of 1 is assigned if preprocessing outputs ""{score name}""; otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",code-instruments,NA
pidentity,parent_identity,0,Parent identity status,"When data is transferred from raw to checked, value of 8 is assigned based on the value of parent ID = 328XXXX; value of 9 is assigned based on the value of parent ID = 329XXXX",s1_r1_e1,Logical,"NA, 8, 9","NA, status unknown | 8, primary parent | 9, secondary parent","file: ""read2bbsparent""; variable: ""record_id""",NA
plang,parent_lang,0,Parent language status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of {language variable} = 1 (English); value of 2 is assigned based on the value of  {language variable} = 2 (Spanish)",s1_r1_e1,Logical,"NA, 1, 2","NA, status unknown | 1, English | 2, Spanish","file: ""read2bbsparent""; variable: ""bbspaid_lang""",NA
all_eeg_preprocessing_finished,eeg_preprocessing_status,0,Status of EEG preprocessing,,"s1_r1_e1, s2_r1_e1, s3_r1_e2",Logical,"NA, 0, 1","NA, status unknown (EEG data doesn't exist) | 0, Preprocessing not finished | 1, Preprocessing finished",code-MADE-pipeline,NA
any_usable_data,eeg_preprocessing_status,0,Status of EEG data after preprocessing,,"s1_r1_e1, s2_r1_e1, s3_r1_e3",Logical,"NA, 0, 1","NA, status unknown (EEG data doesn't exist) | 0, Useable data does not exist | 1, Useable data exists",code-MADE-pipeline,NA
total_epochs_after_artifact_rejection,eeg_preprocessing_status,0,Number of epochs remaining after artifact rejection,,"s1_r1_e1, s2_r1_e1, s3_r1_e4",Logical,"NA, [0,3000]","NA, status unknown (EEG data doesn't exist) | [0,3000] Number of epochs remaining after artifact rejection",code-MADE-pipeline,NA
